"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Brad Peacock","Astros","27.8 %","61.9 %","43.2 %","53.7 %","80.8 %","71.2 %","45.2 %","60.9 %","12.4 %","5401"
"Mike Montgomery","Cubs","27.8 %","61.6 %","41.8 %","64.7 %","89.7 %","80.0 %","41.6 %","58.3 %","8.4 %","4869"
"Taijuan Walker","Diamondbacks","27.7 %","66.2 %","45.6 %","69.0 %","85.6 %","80.2 %","46.5 %","59.8 %","9.0 %","11836"
"Carlos Martinez","Cardinals","27.7 %","64.5 %","45.3 %","55.8 %","86.3 %","76.6 %","47.9 %","59.3 %","10.6 %","11682"
"Robbie Ray","Diamondbacks","27.6 %","62.5 %","42.9 %","47.7 %","81.4 %","69.2 %","43.8 %","58.8 %","13.2 %","11486"
"R.A. Dickey","Braves","27.5 %","68.3 %","47.2 %","76.0 %","83.9 %","81.5 %","48.2 %","63.5 %","8.7 %","1245"
"Mike Foltynewicz","Braves","27.3 %","68.0 %","44.8 %","70.9 %","84.9 %","80.0 %","43.0 %","62.4 %","9.0 %","10811"
"Wade Miley","Orioles","27.3 %","64.7 %","40.7 %","69.0 %","90.5 %","81.3 %","35.9 %","54.1 %","7.6 %","8779"
"Tyler Chatwood","Rockies","27.1 %","66.5 %","43.4 %","57.9 %","88.3 %","77.2 %","41.5 %","53.7 %","9.9 %","4338"
"Jhoulys Chacin","Padres","27.0 %","61.9 %","43.0 %","63.1 %","89.8 %","80.7 %","46.0 %","58.0 %","8.3 %","2608"
"Francisco Liriano","- - -","26.9 %","62.3 %","40.9 %","60.0 %","87.5 %","76.6 %","39.4 %","53.7 %","9.6 %","3201"
"Lance Lynn","Cardinals","26.8 %","68.5 %","44.1 %","75.2 %","82.0 %","79.5 %","41.6 %","52.9 %","9.0 %","2520"
"Ubaldo Jimenez","Orioles","26.7 %","63.3 %","42.3 %","67.4 %","89.9 %","81.8 %","42.7 %","54.3 %","7.7 %","3374"
"German Marquez","Rockies","26.6 %","65.9 %","47.9 %","53.6 %","88.7 %","79.7 %","54.0 %","59.3 %","9.7 %","15038"
"Tim Adleman","Reds","26.6 %","69.7 %","47.0 %","62.5 %","83.4 %","77.2 %","47.3 %","61.0 %","10.7 %","10968"
"Matt Moore","Giants","26.5 %","68.9 %","47.0 %","65.5 %","88.0 %","81.4 %","48.5 %","60.1 %","8.7 %","1890"
"Andrew Cashner","Rangers","26.4 %","65.7 %","44.4 %","73.3 %","93.3 %","86.8 %","45.7 %","59.6 %","5.9 %","8782"
"Edinson Volquez","Marlins","26.4 %","62.5 %","42.0 %","62.6 %","86.8 %","78.2 %","43.3 %","56.7 %","9.2 %","3990"
"Zach Davies","Brewers","26.4 %","63.0 %","42.2 %","71.1 %","89.7 %","83.1 %","43.3 %","57.7 %","7.1 %","13183"
"Kyle Freeland","Rockies","26.2 %","69.3 %","45.2 %","71.9 %","90.5 %","84.5 %","44.1 %","54.7 %","7.0 %","16256"
"Daniel Norris","Tigers","26.1 %","64.4 %","43.4 %","57.6 %","87.8 %","77.8 %","45.0 %","55.9 %","9.6 %","13475"
"Ty Blach","Giants","26.1 %","67.6 %","46.1 %","76.5 %","88.9 %","85.3 %","48.2 %","61.3 %","6.8 %","14361"
"Ariel Miranda","Mariners","26.0 %","71.6 %","48.6 %","61.8 %","84.1 %","78.1 %","49.5 %","62.9 %","10.6 %","17526"
"Scott Feldman","Reds","25.9 %","63.2 %","43.3 %","68.6 %","87.2 %","81.3 %","46.6 %","59.8 %","8.1 %","6283"
"Yovani Gallardo","Mariners","25.9 %","66.1 %","44.3 %","69.4 %","88.6 %","82.5 %","45.6 %","58.3 %","7.8 %","8173"
"Jesse Chavez","Angels","25.5 %","71.0 %","44.3 %","73.5 %","87.4 %","82.8 %","41.4 %","61.3 %","7.6 %","5448"
"Jharel Cotton","Athletics","25.4 %","68.5 %","46.4 %","70.0 %","83.0 %","79.4 %","48.6 %","60.9 %","9.6 %","13654"
"JC Ramirez","Angels","25.4 %","66.9 %","45.7 %","61.5 %","87.1 %","79.8 %","48.9 %","60.6 %","9.2 %","8302"
"Matt Cain","Giants","25.4 %","62.4 %","43.1 %","82.8 %","92.2 %","89.3 %","47.8 %","64.5 %","4.6 %","4732"
"Jerad Eickhoff","Phillies","25.3 %","65.7 %","44.2 %","62.8 %","88.8 %","80.9 %","46.8 %","57.2 %","8.4 %","12664"
"Mike Pelfrey","White Sox","24.9 %","65.2 %","40.9 %","73.9 %","89.6 %","83.8 %","39.8 %","58.9 %","6.6 %","5203"
"Zack Wheeler","Mets","24.8 %","69.1 %","46.1 %","65.2 %","86.1 %","80.3 %","48.1 %","60.9 %","9.1 %","10310"
"Derek Holland","White Sox","24.8 %","65.5 %","42.1 %","70.7 %","88.2 %","82.3 %","42.5 %","64.0 %","7.5 %","4141"
"Ian Kennedy","Royals","23.9 %","68.0 %","44.9 %","70.8 %","83.7 %","80.1 %","47.6 %","57.1 %","8.9 %","6986"
"Trevor Bauer","Indians","23.2 %","63.4 %","41.4 %","61.4 %","87.4 %","79.4 %","45.2 %","55.8 %","8.5 %","12703"
"Antonio Senzatela","Rockies","21.6 %","63.8 %","43.4 %","66.3 %","89.3 %","83.8 %","51.9 %","62.0 %","7.0 %","15488"
